Sr. No.,question,Option A,Option B,Option C,Option D,Correct Option
1,Which tablets do not require  disintegration test.,Immediate,Chewable,Bilayered,coated,B
2,Which test is the example of antigen-antibody reaction,HB – Test,Disintegration Test,ELISA – Test,LFT,C
3,From which height tablets fall in Friability apparatus.,6.5 Inches,6 Inches,5.9 Inches,6.25 Inches,B
4,In UV spectrophotometer the  source of light is,"Tungston 
filament lamp",Nest lamp,Sodium lamp,Electric lamp,A
5,Photoelectric cell is used to detect,IR light,HPLC,UV light,Far IR light,C
6,Wave number is expressed in:,cm-1,0 cm-1,sec-1,None of above,A
7,Which of the following will easily dissolve in a polar solvent?,"gasoline 
(heptanes & octanes)",Water,Methane,"sodium 
chloride",D
8,"A Bronsted acid becomes 
__________ upon losing a proton.",highly reactive,Water,"its conjugate 
base","a hydronium 
ion",D
9,Metaprolol an antihypertensive drug. In which category it falls,Alpha blocker,NSAID,"Calcium 
channel blocker","Potassium 
channel blocker",A
10,An example of multiple drug-drug  interaction.,"Warfarin - 
Aspirin",Paracetamol,"Hydrocodone
 – Codine","Penicillin – 
Cephalexin",C
11,The highest electrical conductivity of the following aqueous solutions is of,"0.1 M acetic 
acid",0.1 M HCl,"0.1 M 
fluoroacetic acid","0.1 M 
difluoroacetic acid",D
12,"Which one of these monoterpenes can be identified on the
basis of UV spectrum",Menthol,Ethanol,"I, 8-Cineole",Citral,D
13,The region of the electromagnetic spectrum below 200 nm is knowed as,"Vacuum 
ultra violet region","IR 
region","Low UV 
region","Microwave
 region",C
14,"Hypsochromic shift is also knows 
as",Red shift,Blue shift,Green,,C
15,"Bathochromic shift is also known 
as",Red shift,Blue shift,Green,,A
16,Thin layer chromatography is,"Partition 
chromatography",Absorption Chromatography,"Adsorption 
chromatography","None of the 
above",C
17,Snell’s Law is related to,Potentiometry,HPLC,"Conducto
-metry",Refractometry,D
18,"If 25 g of a liquid occupies 20 cm3 in a measuring cylinder, 
what is the density of the liquid?",0.25 g / cm-3,Clinical trials,1.25 g / cm-3,5 g / cm-3,C
19,Example of H₂ Antagonist drug______,Salbutamol,Rantidine,Ondansatron,"None of 
the above",B
20,Base turns the litmus paper,Red to Blue,Clinical trials,Red to Black,Blue to Black,A
